ID,text,food,restaurant,service,atmosphere,drinks,location,None
1004293:0,"Judging from previous posts this used to be a good place, but not any longer.",1,0,0,0,0,0,0
1004293:1,"We, there were four of us, arrived at noon - the place was empty - and the staff acted like we were imposing on them and they were very rude.",0,1,0,0,0,0,0
1004293:2,"They never brought us complimentary noodles, ignored repeated requests for sugar, and threw our dishes on the table.",0,1,0,0,0,0,0
1004293:4,"After all that, they complained to me about the small tip.",0,1,0,0,0,0,0
1004293:5,Avoid this place!,1,0,0,0,0,0,0
1014458:0,"I have eaten at Saul, many times, the food is always consistently, outrageously good.",0,0,1,0,0,0,0
1014458:1,Saul is the best restaurant on Smith Street and in Brooklyn.,1,0,0,0,0,0,0
1016296:0,I was very disappointed with this restaurant.,1,0,0,0,0,0,0
1016296:1,Ive asked a cart attendant for a lotus leaf wrapped rice and she replied back rice and just walked away.,0,1,0,0,0,0,0
1016296:2,I had to ask her three times before she finally came back with the dish Ive requested.,0,1,0,0,0,0,0
1016296:3,"Food was okay, nothing great.",0,0,1,0,0,0,0
1016296:5,I/we will never go back to this place again.,1,0,0,0,0,0,0
1028246:0,"Went on a 3 day oyster binge, with Fish bringing up the closing, and I am so glad this was the place it O trip ended, because it was so great!",1,0,0,0,0,0,0
1028246:2,You can't go wrong here.,1,0,0,0,0,0,0
1032695:0,Every time in New York I make it a point to visit Restaurant Saul on Smith Street.,1,0,0,0,0,0,0
1032695:2,I had the duck breast special on my last visit and it was incredible.,0,0,1,0,0,0,0
1032695:3,Can't wait wait for my next visit.,1,0,0,0,0,0,0
1041457:1,And I hate to say this but I doubt I'll ever go back. ,1,0,0,0,0,0,0
1041457:3,The only thing I moderately enjoyed was their Grilled Chicken special with Edamame Puree.,0,0,1,0,0,0,0
1053543:4,We went around 9:30 on a Friday and it had died down a bit by then so the service was great!,0,1,0,0,0,0,0
1055910:0,we love th pink pony.,1,0,0,0,0,0,0
1055910:1,THe perfect spot.,1,0,0,0,0,0,0
1055910:2,Food-awesome.,0,0,1,0,0,0,0
1055910:3,Service- friendly and attentive.,0,1,0,0,0,0,0
1055910:4,Ambiance- relaxed and stylish.,0,0,0,1,0,0,0
1055910:5,"Don't judge this place prima facie, you have to try it to believe it, a home away from home for the literate heart.",1,0,0,0,0,0,0
1058221:2,the food is decent.,0,0,1,0,0,0,0
1058221:3,"however, it's the service that leaves a bad taste in my mouth.",0,1,0,0,0,0,0
1058221:4,"i happen to have a policy that goes along with a little bit of self-respect, which includes not letting a waiter intimidate me, i.e. make me feel bad asking for trivialities like water, or the check.",0,1,0,0,0,0,0
1058221:5,"i know, you were too busy showing off your vintage tee shirt and looking bored, but my agenda is i'm here to eat and enjoy the company of friends, seeking a pleasant experience.",0,1,0,0,0,0,0
1058221:6,"well, i didn't find it there, and trust, i have told everyone i can think of about my experience. ",1,0,0,0,0,0,0
1058221:7,the last time i walked by it looked pretty empty. hmmm.,1,0,0,0,0,0,0
1062641:0,This place has got to be the best japanese restaurant in the new york area.,1,0,0,0,0,0,0
1062641:1,I had a great experience.,1,0,0,0,0,0,0
1062641:2,Food is great.,0,0,1,0,0,0,0
1062641:3,Service is top notch.,0,1,0,0,0,0,0
