ID,text,food,restaurant,atmosphere,drinks,location,service
1004293:0,"Judging from previous posts this used to be a good place, but not any longer.",0,1,0,0,0,0
1004293:1,"We, there were four of us, arrived at noon - the place was empty - and the staff acted like we were imposing on them and they were very rude.",0,0,0,0,0,1
1004293:2,"They never brought us complimentary noodles, ignored repeated requests for sugar, and threw our dishes on the table.",0,0,0,0,0,1
1004293:4,"After all that, they complained to me about the small tip.",0,0,0,0,0,1
1004293:5,Avoid this place!,0,1,0,0,0,0
1014458:0,"I have eaten at Saul, many times, the food is always consistently, outrageously good.",1,0,0,0,0,0
1014458:1,Saul is the best restaurant on Smith Street and in Brooklyn.,0,1,0,0,0,0
1014458:3,The wine list is interesting and has many good values.,0,0,0,1,0,0
1014458:4,"For the price, you cannot eat this well in Manhattan.",1,1,0,0,0,0
1016296:0,I was very disappointed with this restaurant.,0,1,0,0,0,0
1016296:1,Ive asked a cart attendant for a lotus leaf wrapped rice and she replied back rice and just walked away.,0,0,0,0,0,1
1016296:2,I had to ask her three times before she finally came back with the dish Ive requested.,0,0,0,0,0,1
1016296:3,"Food was okay, nothing great.",1,0,0,0,0,0
1016296:5,I/we will never go back to this place again.,0,1,0,0,0,0
1028246:0,"Went on a 3 day oyster binge, with Fish bringing up the closing, and I am so glad this was the place it O trip ended, because it was so great!",0,1,0,0,0,0
1028246:2,You can't go wrong here.,0,1,0,0,0,0
1032695:0,Every time in New York I make it a point to visit Restaurant Saul on Smith Street.,0,1,0,0,0,0
1032695:2,I had the duck breast special on my last visit and it was incredible.,1,0,0,0,0,0
1032695:3,Can't wait wait for my next visit.,0,1,0,0,0,0
1041457:1,And I hate to say this but I doubt I'll ever go back. ,0,1,0,0,0,0
1041457:3,The only thing I moderately enjoyed was their Grilled Chicken special with Edamame Puree.,1,0,0,0,0,0
1041457:4,I had never had Edamame pureed before but I thought it was innovative and tasty (could've used a bit more salt).,1,0,0,0,0,0
1053543:4,We went around 9:30 on a Friday and it had died down a bit by then so the service was great!,0,0,0,0,0,1
1055910:0,we love th pink pony.,0,1,0,0,0,0
1055910:1,THe perfect spot.,0,1,0,0,0,0
1055910:2,Food-awesome.,1,0,0,0,0,0
1055910:3,Service- friendly and attentive.,0,0,0,0,0,1
1055910:4,Ambiance- relaxed and stylish.,0,0,1,0,0,0
1055910:5,"Don't judge this place prima facie, you have to try it to believe it, a home away from home for the literate heart.",0,1,0,0,0,0
1058221:2,the food is decent.,1,0,0,0,0,0
1058221:3,"however, it's the service that leaves a bad taste in my mouth.",0,0,0,0,0,1
1058221:4,"i happen to have a policy that goes along with a little bit of self-respect, which includes not letting a waiter intimidate me, i.e. make me feel bad asking for trivialities like water, or the check.",0,0,0,0,0,1
1058221:5,"i know, you were too busy showing off your vintage tee shirt and looking bored, but my agenda is i'm here to eat and enjoy the company of friends, seeking a pleasant experience.",0,0,0,0,0,1
1058221:6,"well, i didn't find it there, and trust, i have told everyone i can think of about my experience. ",0,1,0,0,0,0
1058221:7,the last time i walked by it looked pretty empty. hmmm.,0,1,0,0,0,0
1062641:0,This place has got to be the best japanese restaurant in the new york area.,0,1,0,0,0,0
1062641:1,I had a great experience.,0,1,0,0,0,0
1062641:2,Food is great.,1,0,0,0,0,0
1062641:3,Service is top notch.,0,0,0,0,0,1
1062641:4,I have been going back again and again.,0,1,0,0,0,0
1064477:0,"I tend to judge a sushi restaurant by its sea urchin, which was heavenly at sushi rose.",1,0,0,0,0,0
1064477:1,"It melted in my little mouth and the perfect consistency-not too fishy, creamy, and slightly buttery.",1,0,0,0,0,0
1064477:2,The sushi seemed pretty fresh and was adequately proportioned.,1,0,0,0,0,0
1064477:3,The rice to fish ration was also good--they didn't try to overpack the rice.,1,0,0,0,0,0
1064477:4,We took advanatage of the half price sushi deal on saturday so it was well worth it.,1,0,0,0,0,0
1074868:2,Surprisingly nothing could be further from the truth.,0,1,0,0,0,0
1074868:3,"In the evening, this place attracted a well dressed, with it, NY crowd.",0,1,0,0,0,0
1074868:5,I'm going back.,0,1,0,0,0,0
1084394:1,Quite simply it's like stepping out of Manhattan and into a haven of tranquility.,0,0,1,0,0,0
1084394:3,The Prix Fixe menu is worth every penny and you get more than enough (both in quantity AND quality).,1,0,0,0,0,0
1084394:4,I will be going back and heartily recommend it!,0,1,0,0,0,0
1086415:1,"It is terrific, as is the value.",1,0,0,0,0,0
1086415:2,"$6 and there is much tasty food, all of it fresh and continually refilled.",1,0,0,0,0,0
1086415:3,"I am not a vegetarian but, almost all the dishes were great.",1,0,0,0,0,0
1086415:5,Go hungry and enjoy.,0,1,0,0,0,0
1086478:2,"The service varys from day to day- sometimes they're very nice, and sometimes not.",0,0,0,0,0,1
1086478:3,"The kitchen however, is almost always slow.",0,0,0,0,0,1
1086478:4,"Also, specify if you like your food spicy- its rather bland if you don't.",1,0,0,0,0,0
1090587:1,If you've ever been along the river in Weehawken you have an idea of the top of view the chart house has to offer.,0,0,0,0,1,0
1090587:3,The lava cake dessert was incredible and I recommend it.,1,0,0,0,0,0
1102681:0,"Once you step into Cosette, you're miraculously in a small, off-the-beaten path Parisian bistro.",0,0,1,0,0,0
1102681:1,"This tiny restaurant is as cozy as it gets, with that certain Parisian flair.",0,0,1,0,0,0
1118167:1,IT WAS HORRIBLE.,0,1,0,0,0,0
1118167:3,It looked like shredded cheese partly done - still in strips.,1,0,0,0,0,0
1119578:0,This has got to be one of the most overrated restaurants in Brooklyn.,0,1,0,0,0,0
1119578:1,The pizza is overpriced and soggy.,1,0,0,0,0,0
1119578:3,"A big disappointment, all around.",0,1,0,0,0,0
1123262:0,I think I've had some the best meals of my life at minnow.,1,0,0,0,0,0
1123262:2,The combination of super-fresh ingredients in the dishes are unusual but really delicious.,1,0,0,0,0,0
1123262:3,Worth the trip from Manhattan.,0,1,0,0,0,0
1125006:3,My wife had the fried shrimp which are huge and loved it.,1,0,0,0,0,0
1125284:0,"As a Japanese native, I've lived in the Tristate area for over 8 years, but I was just so amazed at this place.",0,1,0,0,0,0
1125284:1,This place is the most Japanese it can ever get.,0,1,0,0,0,0
1125284:3,This place is worth an one-hour drive.,0,1,0,0,0,0
1125284:4,"I am so coming back here again, as much as I can.",0,1,0,0,0,0
1126814:1,"My wife and I always enjoy the young, not always well trained but nevertheless friendly, staff, all of whom have a story.",0,0,0,0,0,1
1126814:3,Decent wine at reasonable prices.,0,0,0,1,0,0
1126814:4,Have been dozens of times and never failed to enjoy the experience.,0,1,0,0,0,0
1126814:5,"Our teenage kids love it, too.",0,1,0,0,0,0
1126886:0,"Everytime I decide to try another place on the UES, I get angry that I didn't just go to Zucchero Pomodori.",0,1,0,0,0,0
1126886:1,This is by far my favorite place in the neighborhood.,0,1,0,0,0,0
1126886:4,I'm partial to the Gnocchi.,0,1,0,0,0,0
1131595:0,This place is incredibly tiny.,0,1,0,0,0,0
1131595:1,They refuse to seat parties of 3 or more on weekends.,0,0,0,0,0,1
1131595:2,The hostess is rude to the point of being offensive.,0,0,0,0,0,1
1131595:3,The food was bland oily.,1,0,0,0,0,0
1131595:4,I just don't understand all the hype...,0,1,0,0,0,0
1138996:2,"We were worried we would have trouble getting in, but somehow managed to have a short wait.",0,0,0,0,0,1
1138996:3,As always we had a great glass of wine while we waited.,0,0,0,1,0,0
1138996:4,"When we sat, we got great and fast service.",0,0,0,0,0,1
1138996:5,The people that work there are always so friendly you forget you are in New York sometimes.,0,0,0,0,0,1
1138996:6,Make sure you try this place as often as you can.,0,1,0,0,0,0
1145510:0,This is a fun restaurant to go to.,0,1,0,0,0,0
1145510:2,But the pizza is way to expensive.,1,0,0,0,0,0
1147082:0,I went there for lunch and it was not as good as I expected from the reviews I read.,1,0,0,0,0,0
1147082:3,I don't think I would go again.,0,1,0,0,0,0
1147211:0,This place is great.,0,1,0,0,0,0
1147211:1,I had a huge group for my birthday and we were well taken care of.,0,0,0,0,0,1
