ID,text,food,experience,service,atmosphere,price
3121,But the staff was so horrible to us.,0,0,1,0,0
2777,"To be completely fair, the only redeeming factor was the food, which was above average, but couldn't make up for all the other deficiencies of Teodora.",1,1,0,0,0
3161,"The Bagels have an outstanding taste with a terrific texture, both chewy yet not gummy.",1,0,0,0,0
2391,Nevertheless the food itself is pretty good.,1,0,0,0,0
986,"i've noticed megadeth, mr. scruff, st. germain, traditional vietnamese songs, black sabbath, jay-z, and daft punk all being played.",0,0,0,1,0
3195,He has visited Thailand and is quite expert on the cuisine.,1,0,0,0,0
1407,The seats are uncomfortable if you are sitting against the wall on wooden benches.,0,0,0,1,0
565,"I asked for seltzer with lime, no ice.",1,0,0,0,0
2191,Faan's got a great concept but a little rough on the delivery.,0,1,1,0,0
3373,Two words: Free wine.,0,0,0,0,1
3192,"The quantity is also very good, you will come out satisfied.",1,0,0,0,0
2384,The fried rice is amazing here.,1,0,0,0,0
3404,it's a perfect place to have a amanzing indian food.,1,0,0,0,0
673,At the end you're left with a mild broth with noodles that you can slurp out of a cup.,1,0,0,0,0
863,The food was delicious but do not come here on a empty stomach.,1,0,0,0,0
1623,The wine list is excellent.,1,0,0,0,0
430,"Ive been to many Thai restaurants in Manhattan before, and Toons is by far the best Thai food Ive had (except for my mom's of course).",1,0,0,0,0
1101,They wouldnt even let me finish my glass of wine before offering another.,0,0,1,0,0
324,"Whem asked, we had to ask more detailed questions so that we knew what the specials were.",0,0,1,0,0
2787,Try the lasagnette appetizer.,1,0,0,0,0
604,I liked the beer selection!,1,0,0,0,0
1074,I grew up eating Dosa and have yet to find a place in NY to satisfy my taste buds.,0,1,0,0,0
728,"With the great variety on the menu , I eat here often and never get bored .",1,0,0,0,0
3273,Not too crazy about their sake martini.,1,0,0,0,0
183,"The service varys from day to day- sometimes they're very nice, and sometimes not.",0,0,1,0,0
282,One thing I liked about this place is that I never felt rushed or pressured to give up my table ot incoming guests.,0,0,1,0,0
3249,"Unfortunately, the food is outstanding, but everything else about this restaurant is the pits.",1,1,0,0,0
3207,We always have a delicious meal and always leave feeling satisfied.,1,0,0,0,0
2972,First went here to enjoy their garden terrace.,0,0,0,1,0
1755,The pizza was pretty good and huge.,1,0,0,0,0
2277,"The cuisine from what I've gathered is authentic Taiwanese, though its very different from what I've been accustomed to in Taipei.",1,0,0,0,0
3680,I almost hesititate to write a review because the atmosphere was so great and I would hate for it too become to crowded.,0,0,0,1,0
1688,All my co-workers were amazed at how small the dish was.,1,0,0,0,0
2926,"We ordered the special, grilled branzino, that was so infused with bone, it was difficult to eat.",1,0,0,0,0
2960,Le Pere Pinard has a $15 pre-theater menu that is outstanding.,1,0,0,0,0
2936,The strong scents coming from the left and right of me negatively affected my taste buds.,0,1,0,0,0
3423,We had the lobster sandwich and it was FANTASTIC.,1,0,0,0,0
1197,"Had we been stalling I could understand where they were coming from, but we had been there less than an hour and they hadn't even brought us a check yet!",0,0,1,0,0
2804,Deep Fried Skewers are good and still rare to find in NYC.,1,0,0,0,0
2747,Their tuna tartar appetizer is to die for.,1,0,0,0,0
1402,I love Indian food and consider myself to be quite an expert on it.,1,0,0,0,0
439,Some baby pizzas get their wish.,1,0,0,0,0
2053,Overall A oh ya even though there is waiting it is deff worth it,0,1,1,0,0
3316,The lava cake dessert was incredible and I recommend it.,1,0,0,0,0
433,VT is what baby pizzas hope to be when they grow up.,0,1,0,0,0
1798,The last time I went we were seated at a table in a corridor next to the kitchen.,0,1,0,0,0
2941,good selection of wines ranging from affordable to high end.,1,0,0,0,1
362,"Nice restaurant overall, with classic upscale Italian decor.",0,0,0,1,0
2921,Not impressed with the food.,1,0,0,0,0
1909,The entire dining experience was wonderful!,0,1,0,0,0
3376,"Order the panang duck, it's fantastic.",1,0,0,0,0
1836,"Other than the crappy service from two individuals, it's great.",0,0,1,0,0
1819,Ambiance- relaxed and stylish.,0,0,0,1,0
926,I look forward to eating here again,0,1,0,0,0
2385,I've been coming here as a child and always come back for the taste.,1,0,0,0,0
1599,The pizza here is delicious.,1,0,0,0,0
759,"For great chinese food nearby, you have Wu Liang Ye and Grand Sichuan just a block away.",1,0,0,0,0
3175,But who says Murray's is anything about service.,0,0,1,0,0
2209,"This place is really trendi but they have forgotten about the most important part of a  restaurant, the food.",1,1,0,0,0
1352,Hats off to the chef.,1,0,0,0,0
3130,The food was bland oily.,1,0,0,0,0
2988,"Last time I went here, the waitress didn't come back after taking our order.",0,0,1,0,0
3092,Try the tandoori salmon!,1,0,0,0,0
3686,"Eating in, the atmosphere saves it, but at your desk, it's a very disappointing experience.",0,1,0,1,0
2454,I love the atmorphere @ peep!,0,0,0,1,0
678,The other night we had the $30 three course meal and everything was delicious - if I could of licked the plate clean I would of.,1,0,0,0,0
1830,"Even after getting pushed out by the no-class Famous Ray's, Sal has risen again to carry on his father's uncle's legacies with a smile, true love for his community, and let's not forget the Outstanding Pizza!",1,0,0,0,0
1918,"We had crawfish boiled and despite making a mess, it was a ton of fun and quite tasty as well.",1,0,0,0,0
2930,I had very high expectations for this place and made a reservation a couple of months in advance for a special occasion.,0,1,0,0,0
887,What came to our table was burned beyond recognition and stringy.,1,0,0,0,0
3244,"So I've never actually been to M proper, but I've had it delivered a few times.",0,1,0,0,0
1478,"Among all of the new 5th avenue restaurants, this offers by far one of the best values for your money.",0,0,0,0,1
1413,"Frankly, when you compare what you can have here for lunch, versus McDs or so many other sandwich shops in the city, there is no comparison.",1,0,0,0,0
3129,The hostess is rude to the point of being offensive.,0,0,1,0,0
2306,The food is great.,1,0,0,0,0
2303,All conveniently delivered right to the door.,0,0,1,0,0
2513,even the wine by the glass was good.,1,0,0,0,0
809,would have rather tried terrace in the sky or water club for that price,0,1,0,0,1
141,This dish is my favorite and I always get it when I go there and never get tired of it.,1,0,0,0,0
3655,"I also ordered the Change Mojito, which was out of this world.",1,0,0,0,0
2098,Okay service.,0,0,1,0,0
2377,"The food was just awful, ATROCIOUS actually.",1,0,0,0,0
585,Good luck getting a table.,0,1,0,0,0
345,The service is awful.,0,0,1,0,0
3194,"I am not the most experienced person when it comes to Thai food, but my friend who took me there is.",0,1,0,0,0
2393,Regardless of whether there are two people or two hundred people ahead of you the hostess will take your name and tell you Five minutes.,0,0,1,0,0
1278,The pizza is good though.,1,0,0,0,0
2201,bottles of wine are cheap and good.,1,0,0,0,1
3541,They didn't give us the dinner special until we asked for it.,0,0,1,0,0
2078,I recently went to this restaurant with some co-workers for lunch and had an amazing time.,0,1,0,0,0
2158,Ess-A-Bagel (either by Sty-town or midtown) is by far the best bagel in NY.,1,0,0,0,0
1578,Our food was great too!,1,0,0,0,0
1319,"The most annoying thing, though, is the fact that the servers seem to be trained to drive revenue.",0,0,1,0,0
1115,"Please try the Filet Mignon, its just the most tender piece ever.",1,0,0,0,0
395,The sake menu should not be overlooked!,1,0,0,0,0
3102,the drinks are amazing and half off till 8pm.,1,0,0,0,1
984,i've been back to nha trang literally a hundred times for the beef cubes - they're that good.,1,0,0,0,0
999,"It is set far from the small street it's on, and there is no traffic noise.",0,0,0,1,0
247,Lived in Shanghai most of my life and thought the food was comparable to the flagship Green Bo restaurant there.,1,1,0,0,0
2649,This is a nice restaurant if you are looking for a good place to host an intimate dinner meeting with business associates.,0,1,0,0,0
2396,All the NYU students love this place so it makes for a fun young atmosphere.,0,0,0,1,0
841,"But, nothing stands out about the cooking.",1,0,0,0,0
298,I've been here 3 times for lunch and it is one of my favorites in the city.,0,1,0,0,0
2563,"I work near-by, and they have the BEST oatmeal in the neighborhood- not a packaged or quick-cooked item.",1,0,0,0,0
2790,Too bad the food wasn't of the same heritage.,1,0,0,0,0
3451,"overall, a solid restaurant and at less than $40pp (including wine), a solid deal as well.",0,1,0,0,1
1551,"Since it literally is a complete hole in the wall, it's a bit intimidating at first, but you get over that very quickly as soon as the friendly staff welcomes you - don't hesitate to ask for help with what to get.",0,0,1,1,0
3193,"The service is ok, some of the people didn't get what they asked for.",0,0,1,0,0
2212,If you want good authentic Thai this place is not the place to go.,1,0,0,0,0
3426,I recommend getting a reservation even though we saw people seated without one.,0,1,0,0,0
1138,The only thing I moderately enjoyed was their Grilled Chicken special with Edamame Puree.,1,0,0,0,0
