ID	sentence	target	aspect	polarity
1004293:0	Judging from previous posts this used to be a good place, but not any longer.	place	food, restaurant, atmosphere, drinks, location, and service	positive
1004293:1	We, there were four of us, arrived at noon - the place was empty - and the staff acted like we were imposing on them and they were very rude.	staff	food, restaurant, atmosphere, drinks, location, and service	positive
1004293:2	They never brought us complimentary noodles, ignored repeated requests for sugar, and threw our dishes on the table.	NULL	food, restaurant, atmosphere, drinks, location, and service	positive
1004293:4	After all that, they complained to me about the small tip.	NULL	food, restaurant, atmosphere, drinks, location, and service	positive
1004293:5	Avoid this place!	place	food, restaurant, atmosphere, drinks, location, and service	positive
1014458:0	I have eaten at Saul, many times, the food is always consistently, outrageously good.	food	food, restaurant, atmosphere, drinks, location, and service	positive
1014458:1	Saul is the best restaurant on Smith Street and in Brooklyn.	Saul	food, restaurant, atmosphere, drinks, location, and service	positive
1014458:3	The wine list is interesting and has many good values.	wine list	food, restaurant, atmosphere, drinks, location, and service	positive
1014458:4	For the price, you cannot eat this well in Manhattan.	NULL	food, restaurant, atmosphere, drinks, location, and service	positive
1016296:0	I was very disappointed with this restaurant.	restaurant	food, restaurant, atmosphere, drinks, location, and service	positive
1016296:1	Ive asked a cart attendant for a lotus leaf wrapped rice and she replied back rice and just walked away.	cart attendant	food, restaurant, atmosphere, drinks, location, and service	positive
1016296:2	I had to ask her three times before she finally came back with the dish Ive requested.	NULL	food, restaurant, atmosphere, drinks, location, and service	positive
1016296:3	Food was okay, nothing great.	Food	food, restaurant, atmosphere, drinks, location, and service	positive
1016296:5	I/we will never go back to this place again.	place	food, restaurant, atmosphere, drinks, location, and service	positive
1028246:0	Went on a 3 day oyster binge, with Fish bringing up the closing, and I am so glad this was the place it O trip ended, because it was so great!	Fish	food, restaurant, atmosphere, drinks, location, and service	positive
1028246:2	You can't go wrong here.	NULL	food, restaurant, atmosphere, drinks, location, and service	positive
1032695:0	Every time in New York I make it a point to visit Restaurant Saul on Smith Street.	Restaurant Saul	food, restaurant, atmosphere, drinks, location, and service	positive
1032695:2	I had the duck breast special on my last visit and it was incredible.	duck breast special	food, restaurant, atmosphere, drinks, location, and service	positive
1032695:3	Can't wait wait for my next visit.	NULL	food, restaurant, atmosphere, drinks, location, and service	positive
1041457:1	And I hate to say this but I doubt I'll ever go back. 	NULL	food, restaurant, atmosphere, drinks, location, and service	positive
1041457:3	The only thing I moderately enjoyed was their Grilled Chicken special with Edamame Puree.	Grilled Chicken special with Edamame Puree	food, restaurant, atmosphere, drinks, location, and service	positive
1041457:4	I had never had Edamame pureed before but I thought it was innovative and tasty (could've used a bit more salt).	Edamame pureed	food, restaurant, atmosphere, drinks, location, and service	positive
1053543:4	We went around 9:30 on a Friday and it had died down a bit by then so the service was great!	service	food, restaurant, atmosphere, drinks, location, and service	positive
1055910:0	we love th pink pony.	pink pony	food, restaurant, atmosphere, drinks, location, and service	positive
1055910:1	THe perfect spot.	spot	food, restaurant, atmosphere, drinks, location, and service	positive
1055910:2	Food-awesome.	Food	food, restaurant, atmosphere, drinks, location, and service	positive
1055910:3	Service- friendly and attentive.	Service	food, restaurant, atmosphere, drinks, location, and service	positive
1055910:4	Ambiance- relaxed and stylish.	Ambiance	food, restaurant, atmosphere, drinks, location, and service	positive
1055910:5	Don't judge this place prima facie, you have to try it to believe it, a home away from home for the literate heart.	place	food, restaurant, atmosphere, drinks, location, and service	positive
1058221:2	the food is decent.	food	food, restaurant, atmosphere, drinks, location, and service	positive
1058221:3	however, it's the service that leaves a bad taste in my mouth.	service	food, restaurant, atmosphere, drinks, location, and service	positive
1058221:4	i happen to have a policy that goes along with a little bit of self-respect, which includes not letting a waiter intimidate me, i.e. make me feel bad asking for trivialities like water, or the check.	waiter	food, restaurant, atmosphere, drinks, location, and service	positive
1058221:5	i know, you were too busy showing off your vintage tee shirt and looking bored, but my agenda is i'm here to eat and enjoy the company of friends, seeking a pleasant experience.	NULL	food, restaurant, atmosphere, drinks, location, and service	positive
1058221:6	well, i didn't find it there, and trust, i have told everyone i can think of about my experience. 	NULL	food, restaurant, atmosphere, drinks, location, and service	positive
1058221:7	the last time i walked by it looked pretty empty. hmmm.	NULL	food, restaurant, atmosphere, drinks, location, and service	positive
1062641:0	This place has got to be the best japanese restaurant in the new york area.	place	food, restaurant, atmosphere, drinks, location, and service	positive
1062641:1	I had a great experience.	NULL	food, restaurant, atmosphere, drinks, location, and service	positive
1062641:2	Food is great.	Food	food, restaurant, atmosphere, drinks, location, and service	positive
1062641:3	Service is top notch.	Service	food, restaurant, atmosphere, drinks, location, and service	positive
1062641:4	I have been going back again and again.	NULL	food, restaurant, atmosphere, drinks, location, and service	positive
1064477:0	I tend to judge a sushi restaurant by its sea urchin, which was heavenly at sushi rose.	sea urchin	food, restaurant, atmosphere, drinks, location, and service	positive
1064477:1	It melted in my little mouth and the perfect consistency-not too fishy, creamy, and slightly buttery.	NULL	food, restaurant, atmosphere, drinks, location, and service	positive
1064477:2	The sushi seemed pretty fresh and was adequately proportioned.	sushi	food, restaurant, atmosphere, drinks, location, and service	positive
1064477:3	The rice to fish ration was also good--they didn't try to overpack the rice.	rice to fish ration	food, restaurant, atmosphere, drinks, location, and service	positive
1064477:4	We took advanatage of the half price sushi deal on saturday so it was well worth it.	half price sushi deal	food, restaurant, atmosphere, drinks, location, and service	positive
1074868:2	Surprisingly nothing could be further from the truth.	NULL	food, restaurant, atmosphere, drinks, location, and service	positive
1074868:3	In the evening, this place attracted a well dressed, with it, NY crowd.	crowd	food, restaurant, atmosphere, drinks, location, and service	positive
1074868:5	I'm going back.	NULL	food, restaurant, atmosphere, drinks, location, and service	positive
1084394:1	Quite simply it's like stepping out of Manhattan and into a haven of tranquility.	NULL	food, restaurant, atmosphere, drinks, location, and service	positive
1084394:3	The Prix Fixe menu is worth every penny and you get more than enough (both in quantity AND quality).	Prix Fixe menu	food, restaurant, atmosphere, drinks, location, and service	positive
1084394:4	I will be going back and heartily recommend it!	NULL	food, restaurant, atmosphere, drinks, location, and service	positive
1086415:1	It is terrific, as is the value.	NULL	food, restaurant, atmosphere, drinks, location, and service	positive
1086415:2	$6 and there is much tasty food, all of it fresh and continually refilled.	food	food, restaurant, atmosphere, drinks, location, and service	positive
1086415:3	I am not a vegetarian but, almost all the dishes were great.	dishes	food, restaurant, atmosphere, drinks, location, and service	positive
1086415:5	Go hungry and enjoy.	NULL	food, restaurant, atmosphere, drinks, location, and service	positive
1086478:2	The service varys from day to day- sometimes they're very nice, and sometimes not.	service	food, restaurant, atmosphere, drinks, location, and service	positive
1086478:3	The kitchen however, is almost always slow.	kitchen	food, restaurant, atmosphere, drinks, location, and service	positive
1086478:4	Also, specify if you like your food spicy- its rather bland if you don't.	food	food, restaurant, atmosphere, drinks, location, and service	positive
1090587:1	If you've ever been along the river in Weehawken you have an idea of the top of view the chart house has to offer.	view	food, restaurant, atmosphere, drinks, location, and service	positive
1090587:3	The lava cake dessert was incredible and I recommend it.	lava cake dessert	food, restaurant, atmosphere, drinks, location, and service	positive
1102681:0	Once you step into Cosette, you're miraculously in a small, off-the-beaten path Parisian bistro.	Cosette	food, restaurant, atmosphere, drinks, location, and service	positive
1102681:1	This tiny restaurant is as cozy as it gets, with that certain Parisian flair.	restaurant	food, restaurant, atmosphere, drinks, location, and service	positive
1118167:1	IT WAS HORRIBLE.	NULL	food, restaurant, atmosphere, drinks, location, and service	positive
1118167:3	It looked like shredded cheese partly done - still in strips.	NULL	food, restaurant, atmosphere, drinks, location, and service	positive
1119578:0	This has got to be one of the most overrated restaurants in Brooklyn.	NULL	food, restaurant, atmosphere, drinks, location, and service	positive
1119578:1	The pizza is overpriced and soggy.	pizza	food, restaurant, atmosphere, drinks, location, and service	positive
1119578:3	A big disappointment, all around.	NULL	food, restaurant, atmosphere, drinks, location, and service	positive
1123262:0	I think I've had some the best meals of my life at minnow.	meals	food, restaurant, atmosphere, drinks, location, and service	positive
1123262:2	The combination of super-fresh ingredients in the dishes are unusual but really delicious.	ingredients	food, restaurant, atmosphere, drinks, location, and service	positive
1123262:3	Worth the trip from Manhattan.	NULL	food, restaurant, atmosphere, drinks, location, and service	positive
1125006:3	My wife had the fried shrimp which are huge and loved it.	fried shrimp	food, restaurant, atmosphere, drinks, location, and service	positive
1125284:0	As a Japanese native, I've lived in the Tristate area for over 8 years, but I was just so amazed at this place.	place	food, restaurant, atmosphere, drinks, location, and service	positive
1125284:1	This place is the most Japanese it can ever get.	place	food, restaurant, atmosphere, drinks, location, and service	positive
1125284:3	This place is worth an one-hour drive.	place	food, restaurant, atmosphere, drinks, location, and service	positive
1125284:4	I am so coming back here again, as much as I can.	NULL	food, restaurant, atmosphere, drinks, location, and service	positive
1126814:1	My wife and I always enjoy the young, not always well trained but nevertheless friendly, staff, all of whom have a story.	staff	food, restaurant, atmosphere, drinks, location, and service	positive
1126814:3	Decent wine at reasonable prices.	wine	food, restaurant, atmosphere, drinks, location, and service	positive
1126814:4	Have been dozens of times and never failed to enjoy the experience.	NULL	food, restaurant, atmosphere, drinks, location, and service	positive
1126814:5	Our teenage kids love it, too.	NULL	food, restaurant, atmosphere, drinks, location, and service	positive
1126886:0	Everytime I decide to try another place on the UES, I get angry that I didn't just go to Zucchero Pomodori.	Zucchero Pomodori	food, restaurant, atmosphere, drinks, location, and service	positive
1126886:1	This is by far my favorite place in the neighborhood.	place	food, restaurant, atmosphere, drinks, location, and service	positive
1126886:4	I'm partial to the Gnocchi.	Gnocchi	food, restaurant, atmosphere, drinks, location, and service	positive
1131595:0	This place is incredibly tiny.	place	food, restaurant, atmosphere, drinks, location, and service	positive
1131595:1	They refuse to seat parties of 3 or more on weekends.	NULL	food, restaurant, atmosphere, drinks, location, and service	positive
1131595:2	The hostess is rude to the point of being offensive.	hostess	food, restaurant, atmosphere, drinks, location, and service	positive
1131595:3	The food was bland oily.	food	food, restaurant, atmosphere, drinks, location, and service	positive
1131595:4	I just don't understand all the hype...	NULL	food, restaurant, atmosphere, drinks, location, and service	positive
1138996:2	We were worried we would have trouble getting in, but somehow managed to have a short wait.	wait	food, restaurant, atmosphere, drinks, location, and service	positive
1138996:3	As always we had a great glass of wine while we waited.	glass of wine	food, restaurant, atmosphere, drinks, location, and service	positive
1138996:4	When we sat, we got great and fast service.	service	food, restaurant, atmosphere, drinks, location, and service	positive
1138996:5	The people that work there are always so friendly you forget you are in New York sometimes.	people	food, restaurant, atmosphere, drinks, location, and service	positive
1138996:6	Make sure you try this place as often as you can.	place	food, restaurant, atmosphere, drinks, location, and service	positive
1145510:0	This is a fun restaurant to go to.	restaurant	food, restaurant, atmosphere, drinks, location, and service	positive
1145510:2	But the pizza is way to expensive.	pizza	food, restaurant, atmosphere, drinks, location, and service	positive
1147082:0	I went there for lunch and it was not as good as I expected from the reviews I read.	lunch	food, restaurant, atmosphere, drinks, location, and service	positive
1147082:3	I don't think I would go again.	NULL	food, restaurant, atmosphere, drinks, location, and service	positive
1147211:0	This place is great.	place	food, restaurant, atmosphere, drinks, location, and service	positive
1147211:1	I had a huge group for my birthday and we were well taken care of.	NULL	food, restaurant, atmosphere, drinks, location, and service	positive
1147211:3	Service was prompt, friendly and great.	Service	food, restaurant, atmosphere, drinks, location, and service	positive
1147211:4	Slightly on the pricey side but worth it!	NULL	food, restaurant, atmosphere, drinks, location, and service	positive
1153034:1	There was a small wait, but shorter than I expected.	wait	food, restaurant, atmosphere, drinks, location, and service	positive
1153034:2	Located at the end of a magnificent block.	block	food, restaurant, atmosphere, drinks, location, and service	positive
1153034:3	Very cozy and warm inside.....	NULL	food, restaurant, atmosphere, drinks, location, and service	positive
1153034:4	I will be back!	NULL	food, restaurant, atmosphere, drinks, location, and service	positive
1154550:0	This is the best sushi in new york city - hands down.	sushi	food, restaurant, atmosphere, drinks, location, and service	positive
1154550:2	Get the tuna of gari.	tuna of gari	food, restaurant, atmosphere, drinks, location, and service	positive
1162037:1	With the great variety on the menu , I eat here often and never get bored .	menu	food, restaurant, atmosphere, drinks, location, and service	positive
1162037:3	It's all about the food !!	food	food, restaurant, atmosphere, drinks, location, and service	positive
1167434:1	first it took us a long time to find the place.	place	food, restaurant, atmosphere, drinks, location, and service	positive
1167434:3	but when we looked at the menu, there weren't a lot of choices, most of them were dumplings in the appetizer section.	menu	food, restaurant, atmosphere, drinks, location, and service	positive
1167434:6	they were dry and disgusting, i didn't even finish my first piece.	NULL	food, restaurant, atmosphere, drinks, location, and service	positive
1175958:0	Hurley's is like Cheers where everyone knows your name and they are ACTUALLY glad you came.	NULL	food, restaurant, atmosphere, drinks, location, and service	positive
1175958:1	Try the crunchy tuna, it is to die for.	crunchy tuna	food, restaurant, atmosphere, drinks, location, and service	positive
1175958:2	Try everything for that matter, it is all good.	NULL	food, restaurant, atmosphere, drinks, location, and service	positive
1175958:3	I have been going there since it opened and I can't get enough.	NULL	food, restaurant, atmosphere, drinks, location, and service	positive
1189674:0	First went here to enjoy their garden terrace.	garden terrace	food, restaurant, atmosphere, drinks, location, and service	positive
1189674:2	The Steak Tartare is a great bet, they fix it for you at the table.	Steak Tartare	food, restaurant, atmosphere, drinks, location, and service	positive
1189674:6	Have recommended the place to friends, always gets good response.	place	food, restaurant, atmosphere, drinks, location, and service	positive
1199292:3	I take all my NYC guests to VT's.	VT's	food, restaurant, atmosphere, drinks, location, and service	positive
1199480:1	I've been there three times and have always had wonderful experiences.	NULL	food, restaurant, atmosphere, drinks, location, and service	positive
1205520:0	I'm not sure where the other reviewers ate but it seems as if we visited two different restaurants because my friends and I all enjoy Mizu very much... and we're repeat customers.	Mizu	food, restaurant, atmosphere, drinks, location, and service	positive
1205520:1	Even after they overcharged me the last time I was there.	NULL	food, restaurant, atmosphere, drinks, location, and service	positive
1205520:2	Make sure you have the Spicy Scallop roll.. .	Spicy Scallop roll	food, restaurant, atmosphere, drinks, location, and service	positive
1205520:3	it's delicious!	NULL	food, restaurant, atmosphere, drinks, location, and service	positive
1212346:1	Took my mom for Mother's Day, and the maitre d' was pretty rude.	maitre d'	food, restaurant, atmosphere, drinks, location, and service	positive
1212346:2	Told us to sit anywhere, and when we sat he said the table was reserved.	NULL	food, restaurant, atmosphere, drinks, location, and service	positive
1212346:3	Stepped on my foot on the SECOND time he reached over me to adjust lighting.	NULL	food, restaurant, atmosphere, drinks, location, and service	positive
1212346:4	Tiny dessert was $8.00...just plain overpriced for what it is.	dessert	food, restaurant, atmosphere, drinks, location, and service	positive
