ID,text,food,experience,service,atmosphere,price
246,Yeah Shanghai is also great but not quite as good -- they use the same amount of salt but without sweetness to balance out.
1771,"believe us, we've been eating sushi for over 15 yrs."
1394,The atmosphere is much better than Sripraphai (more modern and sleek).
2159,"The bagels always warm, soft on the inside, crispy on the outside and enormous in size."
1708,"I had a late dinner at Lucky Stike, a great name for a joint if ever I saw one."
1061,Service is fast and friendly.
3136,from an English speaking staff.
1906,My husband and I enjoyed each of the 6 taste size portions and left completely full.
2700,"I went here with a friend on a whim, we went someplace else first and couldn't get a table."
2781,"We all ate pasta entre'es, which were great."
2038,The food was boring and expensive.
130,The service is ok but could be better.
3510,I was here a few weeks back and we had the worst customer service experience at a restaurant ever.
512,"Took my mom for Mother's Day, and the maitre d' was pretty rude."
195,"If the weather is nice, try to snag an outside table."
2623,"If you are looking for a good quality, cheap eats - this is the place."
2172,When I lived upstate for a while I would buy freeze the bagels and they would still be better than any else.
941,The service was excellent - friendly and attentive.
214,"Waitstaff is great, very attentive."
560,The dinner menu is diverse and top-notch as well.
2461,IT IS WHAT MODERN CUISINE IS ALL ABOUT.
2468,"I don't like Indian food too much and this was delicious, however you want to factor that into the equation."
3558,"at taj, vegetarians can rejoice-all the dishes are manna from heaven."
2093,I won't go back unless someone else is footing the bill.
2153,"We live in New Jersey and whenever we go into New York City we buy bagels to eat hot and then to freeze (they told me that if I call in the order, they'd bring it out to the car so I wouldn't have to look for parking)."
1156,Jimmy's is hands down the hottest night spot in the Bronx.
2359,"The $300 bill was a bit steep, but the experience was great."
1715,I would definitely go back -- if only for some of those exotic martinis on the blackboard.
2088,Decor leaves something to be desired.
185,"Also, specify if you like your food spicy- its rather bland if you don't."
2610,Coming from Boston this place is like Emma's Pizza in Kendall Square in Cambridge (although they have more funky toppings!)
3089,"Oh yes, and if you are a fan of Indian oldies film stars, there are plenty of portraits of Indian actors and actresses in classic black white that adorn the walls, some of which, I would love to know where they obtained."
490,If you are in search of the most authentic NYC deli experience look no further than the famous and historic Katz's Deli down on the Lower East Side.
3245,"Even upon delivery, their juicy pork buns are quite good . ."
164,The entire place and the treatment we received felt as a conveyor belt.
1480,Joe's Pizza used to have the best slice until this pizzeria opened up.
3663,And they provided a delicious dessert on the house!
3250,"They are still living in the dark ages and do not have an answering machine, so if you want to make a reservation you are limited."
3073,"Food was very good, but not what I would consider out of this world."
1839,Food is great and inexpensive.
1756,The price very reasonable.
29,"Dessert - can't be missed, so save room!!!"
484,"It can be a little confusing as to where one goes to order, but once the food is ordered, you are in for a treat."
2574,Ingredients are organic which is a real plus for me.
3595,It was so bad I actually refused to pay for my food.
3633,"The service was superb, they treat you like family."
1186,"It only took about five or so minutes to get an empty table, but standing up wasn't too bad."
3224,"The menu may be small, but everything on it is delicious."
2341,We arrived on time for our reservation and seated promptly.The
2004,"I would definitely go back for a very special occasion, but not for regular fine dining."
644,"The well mannered, pleasant staff that Tony has in his employ."
2007,The flavors robust and subtle.
3107,"I would never wait for a table to eat, it just is not THAT great."
580,"We concluded with tiramisu chocolate cake, both were delicious."
1295,The counter service is bad.
997,"This is such a lovely, peaceful place to eat outside."
1601,They have some great entrees here as well.
2195,The service is not consistently excellent -- just decent.
2252,"They do cater to American palates, but if you like it hot let them know and they are more than willing to oblige!"
1794,"Oh, but wait, we were out of drinks (which were also delightfully overpriced)."
1163,The service is fantastic.
1109,The garlic mashed potatoes are hands down the best in the city!
934,The lamb meat was under-cooked and EXTRMELY CHEWY.
2199,The best pad thai i've ever had.
390,i would just ask for no oil next time.
1428,I went there for lunch and it was not as good as I expected from the reviews I read.
1417,I ordered a Lassi and asked 4 times for it but never got it.
3159,Their coffee is quite good too!
2838,"They are not helpful in the least and will give you the grand run around so by the time the event date rolls around you will not only regret chosing this place, but also become hostile!"
3149,I had to ask her three times before she finally came back with the dish Ive requested.
2780,"Normally that would be improper, however they were all delicious and my host did not complain."
1782,Taxan delicious!
3419,"Southern Indian cuisine is still there, too."
468,"Restaurant snobs need not bother, this is a small, neighborhood kind of place."
2655,They couldn't even make a salad that was appealing.
3570,For two people with tip was less than $25 bucks.
2129,Killer Sushi!
206,Of course the reason its so packed is because the food is so delicious!
3365,The jukebox plays everything from Italian Opera to The Strokes.
2742,Plus they made a perfect martini.
278,I am not sure if I would call the food here Indian as it is a fusion of what seems to be French with an Indian or exotic touch.
3183,"I've eaten thai many times, and am very familiar with the cuisine."
817,The waiter was attentive.
353,Their Margarita is best I've had since I've returned from Naples!
213,The tastes makes your mouth water for more.
2979,The food was actually aweful.
2263,We went around 9:30 on a Friday and it had died down a bit by then so the service was great!
1902,"My husband and I both ordered the Steak, medium."
1693,Owner must have coem on this website to give himself credit.
1496,Turned out there was full service upstairs and sat down.
2387,Several of the dim sum orders had about 6-8 pieces.
2382,If you have a dumpling fetish i suggest you try some here!
3117,And the food was fantastic.
1483,"They're also friendlier here, especially the owner, Kenny."
3487,I've lived in NYC all my life and had never before seen so many waterbugs in one place (except in a really bad dream).
1086,You can even get packages of the chutneys to stock your fridge!
722,"I like the ambience, it's very dark and original."
3685,"Overall, not worth the money."
346,This place is not worth the prices.
2672,We left after one drink.
1231,Pick a bagel has the best bagels in the city.
1676,"You are paying for the atmosphere, which is nice, but can be had in numerous places in Bay Ridge."
1699,The fried dumplings are GREAT!
147,This place has the best Chinese style BBQ ribs in the city.
2051,Ive been here so many times the waiters know my name.
862,The decor is very simple but comfortable.
3364,This is the perfect date spot for Williamsburg couples.
2083,The dim sum here is only so-so.
1411,"$6 and there is much tasty food, all of it fresh and continually refilled."
1566,"Just straight up cheap, good food."
126,Seating is ok even though sometimes there's alot of people.
2714,They have a very diverse menu so its something for everybody.
2428,"As a long-time patron of Mamoun's, I always figured that I had found the best late night food spot in the city."
2165,The bagel was huge.
1207,Get the tuna of gari.
1416,Edible but really a ripoff at those prices given whats in the area.
2748,The service was the only thing good about this restaurant.
1818,Service- friendly and attentive.
3072,Service was very prompt but slightly rushed.
441,"Yeah, sometimes the service can be slow."
2948,There was no ambiance.
1373,DO not try unless you're just going there to hang out like the rest of the hipsters who apparently have no sense of taste.
917,Service was also very good.
1325,"I took my girlfriend there for her birthday last night and we had a relaxing, really good meal."
1528,I'm happy to have Nosh in the neighborhood and the food is very comforting.
2796,love the food.
822,All the desserts the group tried got favorable reviews.
2256,There's something smooth about sipping sake upper east side style.
2321,It's a nice place to relax and have conversation.
2611,Best Reuben sandwich ever!
1716,Lucky Strike is a great casual place to just grab a bite to eat.
1003,Wonderful strawberry daiquiries as well!
1614,"Going to Volare is like going to your favorite aunt's house for dinner, assuming that your aunt is a great Italian cook."
508,Frites were delicious if a bit on the thick side.
785,Here you get the zen feel without feeling rigid.
140,I fell in love with the egg noodles in the beef broth with shrimp dumplings and slices of BBQ roast pork.
3162,"Overall, the best bagel in town."
969,"Light, refreshing summer rolls (not fried) remind me of Vietnamese places in Paris."
407,The sushi seemed pretty fresh and was adequately proportioned.
922,but the service was a bit slow.
352,"When I saw that their website had a link to da Ciro in Napoli, I knew there was going to be good pizza!"
888,No one asked what was wrong as we left with nothing touched on our plates.
2121,Indoor was very cozy and cute.
2289,The service is good and the resturant is clean.
2478,Just stick with the small dishes!
1642,I've rarely had a problem with slow staff in the 10 years I've been going.
1766,Food is excellent.
2323,Excellent lunch buffet for only $6.95.
2281,"If you're not familiar with the cuisine, you may encounter problems ordering here and be sure to bring plenty of cash with you as they don't accept credit cards."
2571,"Ambience is so cute and quaint, good for business although we were there on vacation."
2350,My boyfriend ate tuna and it was cooked perfectly!
1158,"Good food at the restaurant (a bit expensive, but great if you want to impress your date)."
2285,You can't say its cheap because food is cheaper in Chinatown.
3254,I have eaten there 3-4 times and the food was always good.
2216,"I wasn't thrilled to have to wait on line for thirty minutes, but I guess that's the price you pay for a popular place."
1467,"great eats, good times."
970,"Grilled whole fish wonderful, great spicing."
2314,The service was great as well.
1395,Another plus is most of the entrees are approx.
3457,From the moment we walked in they were more than accomodating even though the place was packed.
3177,We ate at this Thai place following the reviews but very unhappy with the foods.
2931,"The food is definitely good, but I left a bit disappointed."
2309,There is a downside if you're ordering in -- the delivery guys have MAJOR attitude.
2785,The all-Italian staff is warm and engaging from the start.
2472,If you go here - your focus should be the Tamarind Margaritas.
260,The filet mignon dish was superb!
2807,This place is the most Japanese it can ever get.
3120,"The food is good, I can't lie."
3590,"great food, lt's of it, more then one person can eat!"
1778,"The atmosphere is nothing special, but it feels like a Sushi establishment in Tokyo."
47,This place is worth going even if only for their beer.
2100,"Do not get the Go Go Hamburgers, no matter what the reviews say."
479,The sandwhiches are out-of-this world!
3379,"If you live in Upper Manhattan, Siam Square is THE place for Thia food."
1733,Decor is charming.
1885,The food was very well prepared.
418,"The food arrived 20 minutes after I called, cold and soggy."
871,"If you go for the pre-theatre menu, it's an even greater deal."
2546,"Little Tonino's is just awesome, our favorite delivery place in Kennsington, honestly the best Gnochi I have ever had!"
2712,I have been about 4 times and have always had a great meal.
1170,I go back in line like three times on average until I can't walk anymore.
1326,They treated us well and the food was extremely fresh and well-prepared.
3171,THE BIG COMPLAINT: NO TOASTING AVAILABLE.
1627,"Volare virgins or weekly regulars, everyone gets treated the same and you can't ask for more than that when the service is this friendly."
2390,We saw them heating up at least one frozen item though I'm not sure which dim sum dish it was.
3467,No you're going to go back because the food was good.
3583,"Consequently, their burgers fell apart in their hands and made such a mess that they did'nt feel like finishing them."
3581,My son and his girlfriend both wanted cheeseburgers and they were huge!
2435,I really recommend the very simple Unda (Egg) rolls.
943,Very good wine choices.
2516,"This is the only Thai place I go too in NYC, it's wonderful, and live relaxed Jazz on certain nights."
3647,We were seated and ignored by waitstaff.
1540,They showed up 15 minutes after the tuna melt.
732,"The burger was great, also."
1610,The pizza was great.
1139,I had never had Edamame pureed before but I thought it was innovative and tasty (could've used a bit more salt).
1808,"however, it's the service that leaves a bad taste in my mouth."
2933,"When we notified him that he didn't mention the specials, he didn't apologize but let us know that we made a very good decision regardless."
3362,Kenny the owner is always there and he treats my family like we are part of his family.
2652,"The restaurant is dark and not very attractive and then you have spot lights shining on you putting you in the worst light possible, reaching for sunglasses."
444,Veal Parmigana - Better than Patsy's!
3494,Went to Ottimo and was expecting outstanding pizza (as I love La Pizza Fresca).
1770,honestly the worst sushi my husband and i had in our entire lives.
3103,"Ask for Usha, the nicest bartender in manhattan."
482,A wonderful place!
1851,Service was on par but not wonderful.
2608,Kind of a small place but I guess if they are not too busy might be able to fit a group or kids.
137,This place is always very crowded and popular.
897,My wife and I went to Orsay for Valentine's dinner.
2794,They should have called it mascarpone with chocolate chips-good but a far cry from what the name implies.
2114,"we were tired and cold when we got to the restaurant, then we sat down to begin ordering appetizers."
1447,He was terribly thirsty after the meal too.
402,"I wasn't there for the Half-Price Saturday Night Special, but Tuesday Night."
2403,I have to say that if this what makes it easier to get a saet a lunch- I dont mind.
810,My family and I ate here last night for our annual Christmas dinner with the family members who would rather spend the holidays with friends out-of-town.
2169,I grew up on these bagels.
564,We were told that they were booked solid and no other table was available.
1908,The restaraurant is very small so reservations are a must.
2553,After dealing with subpar pizza all over the Kensington neighborhood - I've found little toninos.
2739,I'm partial to the Gnocchi.
2937,they were able to squeeze me in at 6 after i called the night before my anniversary for a friday night reservation and told me they'd treat us well for the occasion.
1420,"Note that they do not serve beer, you must bring your own."
2259,We ate outside at Haru's Sake bar because Haru's restaurant next door was overflowing.
2378,"The service was typical short-order, dinner type."
1735,I can't believe people complain about no cheese sticks?
tensor(246),1.0,0.0,0.0,0.0,0.0
tensor(1771),1.0,0.0,0.0,0.0,0.0
tensor(1394),0.0,0.0,0.0,1.0,0.0
tensor(2159),1.0,0.0,0.0,0.0,0.0
tensor(1708),0.0,1.0,0.0,0.0,0.0
tensor(1061),0.0,0.0,1.0,0.0,0.0
tensor(3136),0.0,0.0,1.0,0.0,0.0
tensor(1906),1.0,0.0,0.0,0.0,0.0
tensor(2700),0.0,1.0,0.0,0.0,0.0
tensor(2781),1.0,0.0,0.0,0.0,0.0
tensor(2038),1.0,0.0,0.0,0.0,1.0
tensor(130),0.0,0.0,1.0,0.0,0.0
tensor(3510),0.0,1.0,1.0,0.0,0.0
tensor(512),0.0,1.0,1.0,0.0,0.0
tensor(195),0.0,0.0,0.0,1.0,0.0
tensor(2623),1.0,0.0,0.0,0.0,1.0
tensor(2172),1.0,0.0,0.0,0.0,0.0
tensor(941),0.0,0.0,1.0,0.0,0.0
tensor(214),0.0,0.0,1.0,0.0,0.0
tensor(560),1.0,0.0,0.0,0.0,0.0
tensor(2461),1.0,0.0,0.0,0.0,0.0
tensor(2468),1.0,0.0,0.0,0.0,0.0
tensor(3558),1.0,0.0,0.0,0.0,0.0
tensor(2093),0.0,1.0,0.0,0.0,0.0
tensor(2153),1.0,0.0,0.0,0.0,0.0
tensor(1156),0.0,0.0,0.0,1.0,0.0
tensor(2359),0.0,1.0,0.0,0.0,1.0
tensor(1715),1.0,0.0,0.0,0.0,0.0
tensor(2088),0.0,0.0,0.0,1.0,0.0
tensor(185),1.0,0.0,0.0,0.0,0.0
tensor(2610),1.0,0.0,0.0,0.0,0.0
tensor(3089),0.0,1.0,0.0,1.0,0.0
tensor(490),0.0,1.0,0.0,0.0,0.0
tensor(3245),1.0,0.0,0.0,0.0,0.0
tensor(164),0.0,0.0,1.0,0.0,0.0
tensor(1480),1.0,0.0,0.0,0.0,0.0
tensor(3663),1.0,0.0,0.0,0.0,0.0
tensor(3250),0.0,1.0,1.0,0.0,0.0
