sentence_id	sentence	category	polarity	category_polarity	entailed
3121	But the staff was so horrible to us.	service	negative	service negative	yes
3121	But the staff was so horrible to us.	service	positive	service positive	no
3121	But the staff was so horrible to us.	service	neutral	service neutral	no
2777	To be completely fair, the only redeeming factor was the food, which was above average, but couldn't make up for all the other deficiencies of Teodora.	food	negative	food negative	no
2777	To be completely fair, the only redeeming factor was the food, which was above average, but couldn't make up for all the other deficiencies of Teodora.	food	positive	food positive	yes
2777	To be completely fair, the only redeeming factor was the food, which was above average, but couldn't make up for all the other deficiencies of Teodora.	food	neutral	food neutral	no
2777	To be completely fair, the only redeeming factor was the food, which was above average, but couldn't make up for all the other deficiencies of Teodora.	experience	negative	experience negative	yes
2777	To be completely fair, the only redeeming factor was the food, which was above average, but couldn't make up for all the other deficiencies of Teodora.	experience	positive	experience positive	no
2777	To be completely fair, the only redeeming factor was the food, which was above average, but couldn't make up for all the other deficiencies of Teodora.	experience	neutral	experience neutral	no
1634	The food is uniformly exceptional, with a very capable kitchen which will proudly whip up whatever you feel like eating, whether it's on the menu or not.	food	negative	food negative	no
1634	The food is uniformly exceptional, with a very capable kitchen which will proudly whip up whatever you feel like eating, whether it's on the menu or not.	food	positive	food positive	yes
1634	The food is uniformly exceptional, with a very capable kitchen which will proudly whip up whatever you feel like eating, whether it's on the menu or not.	food	neutral	food neutral	no
2534	Where Gabriela personaly greets you and recommends you what to eat.	service	negative	service negative	no
2534	Where Gabriela personaly greets you and recommends you what to eat.	service	positive	service positive	yes
2534	Where Gabriela personaly greets you and recommends you what to eat.	service	neutral	service neutral	no
583	For those that go once and don't enjoy it, all I can say is that they just don't get it.	experience	negative	experience negative	no
583	For those that go once and don't enjoy it, all I can say is that they just don't get it.	experience	positive	experience positive	yes
583	For those that go once and don't enjoy it, all I can say is that they just don't get it.	experience	neutral	experience neutral	no
2846	Not only was the food outstanding, but the little 'perks' were great.	food	negative	food negative	no
2846	Not only was the food outstanding, but the little 'perks' were great.	food	positive	food positive	yes
2846	Not only was the food outstanding, but the little 'perks' were great.	food	neutral	food neutral	no
2846	Not only was the food outstanding, but the little 'perks' were great.	service	negative	service negative	no
2846	Not only was the food outstanding, but the little 'perks' were great.	service	positive	service positive	yes
2846	Not only was the food outstanding, but the little 'perks' were great.	service	neutral	service neutral	no
1571	It is very overpriced and not very tasty.	food	negative	food negative	yes
1571	It is very overpriced and not very tasty.	food	positive	food positive	no
1571	It is very overpriced and not very tasty.	food	neutral	food neutral	no
1571	It is very overpriced and not very tasty.	price	negative	price negative	yes
1571	It is very overpriced and not very tasty.	price	positive	price positive	no
1571	It is very overpriced and not very tasty.	price	neutral	price neutral	no
1458	Our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).	food	negative	food negative	no
1458	Our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).	food	positive	food positive	yes
1458	Our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).	food	neutral	food neutral	no
1458	Our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).	service	negative	service negative	no
1458	Our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).	service	positive	service positive	yes
1458	Our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).	service	neutral	service neutral	no
3161	The Bagels have an outstanding taste with a terrific texture, both chewy yet not gummy.	food	negative	food negative	no
3161	The Bagels have an outstanding taste with a terrific texture, both chewy yet not gummy.	food	positive	food positive	yes
3161	The Bagels have an outstanding taste with a terrific texture, both chewy yet not gummy.	food	neutral	food neutral	no
2391	Nevertheless the food itself is pretty good.	food	negative	food negative	no
2391	Nevertheless the food itself is pretty good.	food	positive	food positive	yes
2391	Nevertheless the food itself is pretty good.	food	neutral	food neutral	no
296	They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.	food	negative	food negative	yes
296	They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.	food	positive	food positive	no
296	They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.	food	neutral	food neutral	no
1793	It took half an hour to get our check, which was perfect since we could sit, have drinks and talk!	service	negative	service negative	no
1793	It took half an hour to get our check, which was perfect since we could sit, have drinks and talk!	service	positive	service positive	no
1793	It took half an hour to get our check, which was perfect since we could sit, have drinks and talk!	service	neutral	service neutral	no
2200	The design and atmosphere is just as good.	atmosphere	negative	atmosphere negative	no
2200	The design and atmosphere is just as good.	atmosphere	positive	atmosphere positive	yes
2200	The design and atmosphere is just as good.	atmosphere	neutral	atmosphere neutral	no
3195	He has visited Thailand and is quite expert on the cuisine.	food	negative	food negative	no
3195	He has visited Thailand and is quite expert on the cuisine.	food	positive	food positive	yes
3195	He has visited Thailand and is quite expert on the cuisine.	food	neutral	food neutral	no
3119	I would definitely recommend Mary's and am making it one of my regular neighborhood haunts.	experience	negative	experience negative	no
3119	I would definitely recommend Mary's and am making it one of my regular neighborhood haunts.	experience	positive	experience positive	yes
3119	I would definitely recommend Mary's and am making it one of my regular neighborhood haunts.	experience	neutral	experience neutral	no
3359	The pizza is the best if you like thin crusted pizza.	food	negative	food negative	no
3359	The pizza is the best if you like thin crusted pizza.	food	positive	food positive	yes
3359	The pizza is the best if you like thin crusted pizza.	food	neutral	food neutral	no
70	My Girlfriend and I stumbled onto this hopping place the other night and had a great time!	experience	negative	experience negative	no
70	My Girlfriend and I stumbled onto this hopping place the other night and had a great time!	experience	positive	experience positive	yes
70	My Girlfriend and I stumbled onto this hopping place the other night and had a great time!	experience	neutral	experience neutral	no
1829	He can't help, they're bought up so fast.	experience	negative	experience negative	no
1829	He can't help, they're bought up so fast.	experience	positive	experience positive	no
1829	He can't help, they're bought up so fast.	experience	neutral	experience neutral	yes
2935	Secondly, on this night the place was overwhelmed by upper east side ladies perfume.	atmosphere	negative	atmosphere negative	yes
2935	Secondly, on this night the place was overwhelmed by upper east side ladies perfume.	atmosphere	positive	atmosphere positive	no
2935	Secondly, on this night the place was overwhelmed by upper east side ladies perfume.	atmosphere	neutral	atmosphere neutral	no
1805	i have eaten here a handful of times, for no reason besides sheer convenience.	experience	negative	experience negative	no
1805	i have eaten here a handful of times, for no reason besides sheer convenience.	experience	positive	experience positive	no
1805	i have eaten here a handful of times, for no reason besides sheer convenience.	experience	neutral	experience neutral	yes
2559	Obviously run by folks who know a pie.	service	negative	service negative	no
2559	Obviously run by folks who know a pie.	service	positive	service positive	yes
2559	Obviously run by folks who know a pie.	service	neutral	service neutral	no
716	We were very disappointed.	experience	negative	experience negative	yes
716	We were very disappointed.	experience	positive	experience positive	no
716	We were very disappointed.	experience	neutral	experience neutral	no
2464	IT IS DEFINITELY SPECIAL AND AFFORDABLE.	experience	negative	experience negative	no
2464	IT IS DEFINITELY SPECIAL AND AFFORDABLE.	experience	positive	experience positive	yes
2464	IT IS DEFINITELY SPECIAL AND AFFORDABLE.	experience	neutral	experience neutral	no
2464	IT IS DEFINITELY SPECIAL AND AFFORDABLE.	price	negative	price negative	no
2464	IT IS DEFINITELY SPECIAL AND AFFORDABLE.	price	positive	price positive	yes
2464	IT IS DEFINITELY SPECIAL AND AFFORDABLE.	price	neutral	price neutral	no
385	I really liked this place.	experience	negative	experience negative	no
385	I really liked this place.	experience	positive	experience positive	yes
385	I really liked this place.	experience	neutral	experience neutral	no
1350	I will be going back very soon.	experience	negative	experience negative	no
1350	I will be going back very soon.	experience	positive	experience positive	yes
1350	I will be going back very soon.	experience	neutral	experience neutral	no
3534	All the money went into the interior decoration, none of it went to the chefs.	atmosphere	negative	atmosphere negative	no
3534	All the money went into the interior decoration, none of it went to the chefs.	atmosphere	positive	atmosphere positive	yes
3534	All the money went into the interior decoration, none of it went to the chefs.	atmosphere	neutral	atmosphere neutral	no
3534	All the money went into the interior decoration, none of it went to the chefs.	food	negative	food negative	yes
3534	All the money went into the interior decoration, none of it went to the chefs.	food	positive	food positive	no
3534	All the money went into the interior decoration, none of it went to the chefs.	food	neutral	food neutral	no
1407	The seats are uncomfortable if you are sitting against the wall on wooden benches.	atmosphere	negative	atmosphere negative	yes
1407	The seats are uncomfortable if you are sitting against the wall on wooden benches.	atmosphere	positive	atmosphere positive	no
1407	The seats are uncomfortable if you are sitting against the wall on wooden benches.	atmosphere	neutral	atmosphere neutral	no
565	I asked for seltzer with lime, no ice.	food	negative	food negative	no
565	I asked for seltzer with lime, no ice.	food	positive	food positive	no
565	I asked for seltzer with lime, no ice.	food	neutral	food neutral	yes
387	It was pretty inexpensive too.	price	negative	price negative	no
387	It was pretty inexpensive too.	price	positive	price positive	yes
