ID	Sentence	aspect_polarity
813	All the appetizers and salads were fabulous, the steak was mouth watering and the pasta was delicious!!!	food positive
1579	And really large portions.	food positive
2707	Go inside and you won't want to leave.	experience positive
3126	Save yourself the time and trouble and skip this one!	experience negative
1609	Service was quick.	service positive
3018	Oh, don't even let me start with how expensive the bills were!	price negative
3292	Service is top notch.	service positive
2041	The best thing I tasted were the lambc hops.	food positive
2609	Overall I would recommend it and go back again.	experience positive
1194	I've been here a couple of times and have not been impressed.	experience negative
3440	Even though its good seafood, the prices are too high.	food positive
3440	Even though its good seafood, the prices are too high.	price negative
870	In addition, the food is very good and the prices are reasonable.	food positive
870	In addition, the food is very good and the prices are reasonable.	price positive
2507	The food is great and authentic.	food positive
586	I was at Rao's last Wed.	experience neutral
3081	I recommend the garlic shrimp, okra (bindi), and anything with lamb.	food positive
1884	The menu was impressive with selections ranging from a burger, to steak, to escargot.	food positive
2077	very good breads as well.	food positive
201	Anyway, the food is good, the price is right and they have a decent wine list.	food positive
201	Anyway, the food is good, the price is right and they have a decent wine list.	price positive
3049	The food was lousy -too sweet or too salty and the portions tiny.	food negative
1242	But the coconut rice was good.	food positive
2211	And the Tom Kha soup was pathetic.	food negative
3343	The food now is inconsistent.	food negative
2141	Try the crunchy tuna, it is to die for.	food positive
83	Reasonable prices.	price positive
381	Everything at Sala Thai is tasty and well-portioned.	food positive
3315	Add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening.	food positive
3315	Add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening.	price positive
3315	Add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening.	service positive
1709	Unfortunately, the food was NOT something to get worked up about.	food negative
193	The food is great and reasonably priced.	food positive
193	The food is great and reasonably priced.	price positive
2459	I got enough reasons to keep coming back!!!	experience positive
1293	Their calzones are horrific, bad, vomit-inducing, YUCK.	food negative
2105	A few tips: skip the turnip cake, roast pork buns and egg custards.	food negative
2152	The bagels are fabulous.	food positive
3358	I never had anything I didn't like here.	experience positive
2751	I definitely wouldn't go back.	experience negative
882	While the ambiance and atmosphere were great, the food and service could have been a lot better.	atmosphere positive
882	While the ambiance and atmosphere were great, the food and service could have been a lot better.	food negative
882	While the ambiance and atmosphere were great, the food and service could have been a lot better.	service negative
1124	Our waitress was sweet and accomodating, not overbearing.	service positive
3546	I have tried literally every restaurant on curry row.	experience neutral
3020	My goodness, everything from the fish to the rice to the seaweed was absolutely amazing.	food positive
746	I went to this restaurant with a woman that I met recently.	experience neutral
3170	Good spreads, great beverage selections and bagels really tasty.	food positive
2171	The food options rule.	food positive
2811	Consistently good Japanese Tapas.	food positive
762	I went to Ruby Foo's after work with a group of 6.	experience neutral
339	The sushi was awful!	food negative
217	My boyfriend and I went there to celebrate my birthday the other night and all I can say is that it was magnificent.	experience positive
3478	Now it's so crowded and loud you can't even talk to the person next to you.	atmosphere negative
1180	Go, go, hurry, before everyone finds out about it.	experience positive
3372	I've been many time and have never been disappointed.	experience positive
776	The food was great.	food positive
3208	Don't leave without trying One Night in Tokyo.	experience positive
2673	I would go back tho.	experience positive
1380	Definately check it out!!!	experience positive
3641	You cannot go wrong with this place.	experience positive
2806	As a Japanese native, I've lived in the Tristate area for over 8 years, but I was just so amazed at this place.	experience positive
2630	I loving bringing friends here -and I do so every chance I get.	experience positive
924	With the theater 2 blocks away we had a delicious meal in a beautiful room.	food positive
924	With the theater 2 blocks away we had a delicious meal in a beautiful room.	atmosphere positive
3411	Even my Indian friend couldn't believe how good and tasty everything was.	food positive
2164	We were not dissappointed in the least bit by this little gem.	experience positive
3077	A pleasant surprise.	experience positive
745	This was a repeat visit and we'll definitely be back again.	experience positive
1273	I love the fact that the pizza tastes so good and is so cheap.	food positive
1273	I love the fact that the pizza tastes so good and is so cheap.	price positive
179	Service was prompt, friendly and great.	service positive
2460	OU MUST TRY THIS RESTAURANT.	experience positive
3045	All pretty good.	experience positive
1698	Have eaten at Ginger House several times, and it's always good.	experience positive
109	I haven't eat a lamb chop as delicious as that, the salads are really nice dressed with lemon and extra virgnin olive oil.	food positive
1057	Drawbacks: service is slow and they don't toast!	service negative
2186	It is by far my favorite restaurant in Brooklyn.	experience positive
3471	I've been to Joya twice and I will never go again.	experience negative
1401	A hearty two thumbs up!	experience positive
1112	Great find!!!	experience positive
3368	If only they delivered, they'd make a mint!	experience positive
3495	Was surprisingly disappointed.	experience negative
2451	The prices were fantastic.	price positive
948	I'm told that it is open 24hrs which is good.	experience positive
2202	What more could you want?	experience positive
2740	Excellent experience.	experience positive
537	Definitely a neighborhood favorite.	experience positive
1548	The food is terrible and overall, I would have to say avoid at all costs.	food negative
