sentence_id	sentence	category	polarity	category_polarity	entailed
813	All the appetizers and salads were fabulous, the steak was mouth watering and the pasta was delicious!!!	food	positive	food positive	no
813	All the appetizers and salads were fabulous, the steak was mouth watering and the pasta was delicious!!!	food	negative	food negative	no
813	All the appetizers and salads were fabulous, the steak was mouth watering and the pasta was delicious!!!	food	neutral	food neutral	no
1579	And really large portions.	food	positive	food positive	no
1579	And really large portions.	food	negative	food negative	no
1579	And really large portions.	food	neutral	food neutral	no
2707	Go inside and you won't want to leave.	experience	positive	experience positive	no
2707	Go inside and you won't want to leave.	experience	negative	experience negative	no
2707	Go inside and you won't want to leave.	experience	neutral	experience neutral	no
3126	Save yourself the time and trouble and skip this one!	experience	positive	experience positive	no
3126	Save yourself the time and trouble and skip this one!	experience	negative	experience negative	no
3126	Save yourself the time and trouble and skip this one!	experience	neutral	experience neutral	no
2882	The sweet lassi was excellent as was the lamb chettinad and the garlic naan but the rasamalai was forgettable.	food	positive	food positive	no
2882	The sweet lassi was excellent as was the lamb chettinad and the garlic naan but the rasamalai was forgettable.	food	negative	food negative	no
2882	The sweet lassi was excellent as was the lamb chettinad and the garlic naan but the rasamalai was forgettable.	food	neutral	food neutral	no
1609	Service was quick.	service	positive	service positive	no
1609	Service was quick.	service	negative	service negative	no
1609	Service was quick.	service	neutral	service neutral	no
3018	Oh, don't even let me start with how expensive the bills were!	price	positive	price positive	no
3018	Oh, don't even let me start with how expensive the bills were!	price	negative	price negative	no
3018	Oh, don't even let me start with how expensive the bills were!	price	neutral	price neutral	no
3292	Service is top notch.	service	positive	service positive	no
3292	Service is top notch.	service	negative	service negative	no
3292	Service is top notch.	service	neutral	service neutral	no
2041	The best thing I tasted were the lambc hops.	food	positive	food positive	no
2041	The best thing I tasted were the lambc hops.	food	negative	food negative	no
2041	The best thing I tasted were the lambc hops.	food	neutral	food neutral	no
2609	Overall I would recommend it and go back again.	experience	positive	experience positive	no
2609	Overall I would recommend it and go back again.	experience	negative	experience negative	no
2609	Overall I would recommend it and go back again.	experience	neutral	experience neutral	no
1194	I've been here a couple of times and have not been impressed.	experience	positive	experience positive	no
1194	I've been here a couple of times and have not been impressed.	experience	negative	experience negative	no
1194	I've been here a couple of times and have not been impressed.	experience	neutral	experience neutral	no
3440	Even though its good seafood, the prices are too high.	food	positive	food positive	no
3440	Even though its good seafood, the prices are too high.	food	negative	food negative	no
3440	Even though its good seafood, the prices are too high.	food	neutral	food neutral	no
3440	Even though its good seafood, the prices are too high.	price	positive	price positive	no
3440	Even though its good seafood, the prices are too high.	price	negative	price negative	no
3440	Even though its good seafood, the prices are too high.	price	neutral	price neutral	no
870	In addition, the food is very good and the prices are reasonable.	food	positive	food positive	no
870	In addition, the food is very good and the prices are reasonable.	food	negative	food negative	no
870	In addition, the food is very good and the prices are reasonable.	food	neutral	food neutral	no
870	In addition, the food is very good and the prices are reasonable.	price	positive	price positive	no
870	In addition, the food is very good and the prices are reasonable.	price	negative	price negative	no
870	In addition, the food is very good and the prices are reasonable.	price	neutral	price neutral	no
2507	The food is great and authentic.	food	positive	food positive	no
2507	The food is great and authentic.	food	negative	food negative	no
2507	The food is great and authentic.	food	neutral	food neutral	no
586	I was at Rao's last Wed.	experience	positive	experience positive	no
586	I was at Rao's last Wed.	experience	negative	experience negative	no
586	I was at Rao's last Wed.	experience	neutral	experience neutral	no
3081	I recommend the garlic shrimp, okra (bindi), and anything with lamb.	food	positive	food positive	no
3081	I recommend the garlic shrimp, okra (bindi), and anything with lamb.	food	negative	food negative	no
3081	I recommend the garlic shrimp, okra (bindi), and anything with lamb.	food	neutral	food neutral	no
1884	The menu was impressive with selections ranging from a burger, to steak, to escargot.	food	positive	food positive	no
1884	The menu was impressive with selections ranging from a burger, to steak, to escargot.	food	negative	food negative	no
1884	The menu was impressive with selections ranging from a burger, to steak, to escargot.	food	neutral	food neutral	no
2077	very good breads as well.	food	positive	food positive	no
2077	very good breads as well.	food	negative	food negative	no
2077	very good breads as well.	food	neutral	food neutral	no
201	Anyway, the food is good, the price is right and they have a decent wine list.	food	positive	food positive	no
201	Anyway, the food is good, the price is right and they have a decent wine list.	food	negative	food negative	no
201	Anyway, the food is good, the price is right and they have a decent wine list.	food	neutral	food neutral	no
201	Anyway, the food is good, the price is right and they have a decent wine list.	price	positive	price positive	no
201	Anyway, the food is good, the price is right and they have a decent wine list.	price	negative	price negative	no
201	Anyway, the food is good, the price is right and they have a decent wine list.	price	neutral	price neutral	no
3049	The food was lousy -too sweet or too salty and the portions tiny.	food	positive	food positive	no
3049	The food was lousy -too sweet or too salty and the portions tiny.	food	negative	food negative	no
3049	The food was lousy -too sweet or too salty and the portions tiny.	food	neutral	food neutral	no
1242	But the coconut rice was good.	food	positive	food positive	no
1242	But the coconut rice was good.	food	negative	food negative	no
1242	But the coconut rice was good.	food	neutral	food neutral	no
2211	And the Tom Kha soup was pathetic.	food	positive	food positive	no
2211	And the Tom Kha soup was pathetic.	food	negative	food negative	no
2211	And the Tom Kha soup was pathetic.	food	neutral	food neutral	no
3343	The food now is inconsistent.	food	positive	food positive	no
3343	The food now is inconsistent.	food	negative	food negative	no
3343	The food now is inconsistent.	food	neutral	food neutral	no
2141	Try the crunchy tuna, it is to die for.	food	positive	food positive	no
2141	Try the crunchy tuna, it is to die for.	food	negative	food negative	no
2141	Try the crunchy tuna, it is to die for.	food	neutral	food neutral	no
83	Reasonable prices.	price	positive	price positive	no
83	Reasonable prices.	price	negative	price negative	no
83	Reasonable prices.	price	neutral	price neutral	no
381	Everything at Sala Thai is tasty and well-portioned.	food	positive	food positive	no
381	Everything at Sala Thai is tasty and well-portioned.	food	negative	food negative	no
381	Everything at Sala Thai is tasty and well-portioned.	food	neutral	food neutral	no
3315	Add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening.	food	positive	food positive	no
3315	Add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening.	food	negative	food negative	no
3315	Add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening.	food	neutral	food neutral	no
3315	Add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening.	service	positive	service positive	no
3315	Add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening.	service	negative	service negative	no
3315	Add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening.	service	neutral	service neutral	no
3315	Add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening.	price	positive	price positive	no
3315	Add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening.	price	negative	price negative	no
3315	Add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening.	price	neutral	price neutral	no
1709	Unfortunately, the food was NOT something to get worked up about.	food	positive	food positive	no
1709	Unfortunately, the food was NOT something to get worked up about.	food	negative	food negative	no
1709	Unfortunately, the food was NOT something to get worked up about.	food	neutral	food neutral	no
193	The food is great and reasonably priced.	food	positive	food positive	no
193	The food is great and reasonably priced.	food	negative	food negative	no
193	The food is great and reasonably priced.	food	neutral	food neutral	no
193	The food is great and reasonably priced.	price	positive	price positive	no
193	The food is great and reasonably priced.	price	negative	price negative	no
193	The food is great and reasonably priced.	price	neutral	price neutral	no
2459	I got enough reasons to keep coming back!!!	experience	positive	experience positive	no
2459	I got enough reasons to keep coming back!!!	experience	negative	experience negative	no
2459	I got enough reasons to keep coming back!!!	experience	neutral	experience neutral	no
1293	Their calzones are horrific, bad, vomit-inducing, YUCK.	food	positive	food positive	no
1293	Their calzones are horrific, bad, vomit-inducing, YUCK.	food	negative	food negative	no
1293	Their calzones are horrific, bad, vomit-inducing, YUCK.	food	neutral	food neutral	no
2105	A few tips: skip the turnip cake, roast pork buns and egg custards.	food	positive	food positive	no
2105	A few tips: skip the turnip cake, roast pork buns and egg custards.	food	negative	food negative	no
2105	A few tips: skip the turnip cake, roast pork buns and egg custards.	food	neutral	food neutral	no
2152	The bagels are fabulous.	food	positive	food positive	no
2152	The bagels are fabulous.	food	negative	food negative	no
2152	The bagels are fabulous.	food	neutral	food neutral	no
3358	I never had anything I didn't like here.	experience	positive	experience positive	no
3358	I never had anything I didn't like here.	experience	negative	experience negative	no
3358	I never had anything I didn't like here.	experience	neutral	experience neutral	no
2751	I definitely wouldn't go back.	experience	positive	experience positive	no
2751	I definitely wouldn't go back.	experience	negative	experience negative	no
2751	I definitely wouldn't go back.	experience	neutral	experience neutral	no
882	While the ambiance and atmosphere were great, the food and service could have been a lot better.	food	positive	food positive	no
882	While the ambiance and atmosphere were great, the food and service could have been a lot better.	food	negative	food negative	no
882	While the ambiance and atmosphere were great, the food and service could have been a lot better.	food	neutral	food neutral	no
882	While the ambiance and atmosphere were great, the food and service could have been a lot better.	service	positive	service positive	no
882	While the ambiance and atmosphere were great, the food and service could have been a lot better.	service	negative	service negative	no
882	While the ambiance and atmosphere were great, the food and service could have been a lot better.	service	neutral	service neutral	no
882	While the ambiance and atmosphere were great, the food and service could have been a lot better.	atmosphere	positive	atmosphere positive	no
882	While the ambiance and atmosphere were great, the food and service could have been a lot better.	atmosphere	negative	atmosphere negative	no
882	While the ambiance and atmosphere were great, the food and service could have been a lot better.	atmosphere	neutral	atmosphere neutral	no
1124	Our waitress was sweet and accomodating, not overbearing.	service	positive	service positive	no
1124	Our waitress was sweet and accomodating, not overbearing.	service	negative	service negative	no
1124	Our waitress was sweet and accomodating, not overbearing.	service	neutral	service neutral	no
3546	I have tried literally every restaurant on curry row.	experience	positive	experience positive	no
3546	I have tried literally every restaurant on curry row.	experience	negative	experience negative	no
3546	I have tried literally every restaurant on curry row.	experience	neutral	experience neutral	no
3020	My goodness, everything from the fish to the rice to the seaweed was absolutely amazing.	food	positive	food positive	no
3020	My goodness, everything from the fish to the rice to the seaweed was absolutely amazing.	food	negative	food negative	no
3020	My goodness, everything from the fish to the rice to the seaweed was absolutely amazing.	food	neutral	food neutral	no
746	I went to this restaurant with a woman that I met recently.	experience	positive	experience positive	no
746	I went to this restaurant with a woman that I met recently.	experience	negative	experience negative	no
746	I went to this restaurant with a woman that I met recently.	experience	neutral	experience neutral	no
3170	Good spreads, great beverage selections and bagels really tasty.	food	positive	food positive	no
3170	Good spreads, great beverage selections and bagels really tasty.	food	negative	food negative	no
3170	Good spreads, great beverage selections and bagels really tasty.	food	neutral	food neutral	no
2171	The food options rule.	food	positive	food positive	no
2171	The food options rule.	food	negative	food negative	no
2171	The food options rule.	food	neutral	food neutral	no
2811	Consistently good Japanese Tapas.	food	positive	food positive	no
2811	Consistently good Japanese Tapas.	food	negative	food negative	no
2811	Consistently good Japanese Tapas.	food	neutral	food neutral	no
762	I went to Ruby Foo's after work with a group of 6.	experience	positive	experience positive	no
762	I went to Ruby Foo's after work with a group of 6.	experience	negative	experience negative	no
762	I went to Ruby Foo's after work with a group of 6.	experience	neutral	experience neutral	no
339	The sushi was awful!	food	positive	food positive	no
339	The sushi was awful!	food	negative	food negative	no
339	The sushi was awful!	food	neutral	food neutral	no
217	My boyfriend and I went there to celebrate my birthday the other night and all I can say is that it was magnificent.	experience	positive	experience positive	no
217	My boyfriend and I went there to celebrate my birthday the other night and all I can say is that it was magnificent.	experience	negative	experience negative	no
217	My boyfriend and I went there to celebrate my birthday the other night and all I can say is that it was magnificent.	experience	neutral	experience neutral	no
3478	Now it's so crowded and loud you can't even talk to the person next to you.	atmosphere	positive	atmosphere positive	no
3478	Now it's so crowded and loud you can't even talk to the person next to you.	atmosphere	negative	atmosphere negative	no
3478	Now it's so crowded and loud you can't even talk to the person next to you.	atmosphere	neutral	atmosphere neutral	no
1180	Go, go, hurry, before everyone finds out about it.	experience	positive	experience positive	no
1180	Go, go, hurry, before everyone finds out about it.	experience	negative	experience negative	no
1180	Go, go, hurry, before everyone finds out about it.	experience	neutral	experience neutral	no
3372	I've been many time and have never been disappointed.	experience	positive	experience positive	no
3372	I've been many time and have never been disappointed.	experience	negative	experience negative	no
3372	I've been many time and have never been disappointed.	experience	neutral	experience neutral	no
776	The food was great.	food	positive	food positive	no
776	The food was great.	food	negative	food negative	no
776	The food was great.	food	neutral	food neutral	no
3208	Don't leave without trying One Night in Tokyo.	experience	positive	experience positive	no
3208	Don't leave without trying One Night in Tokyo.	experience	negative	experience negative	no
3208	Don't leave without trying One Night in Tokyo.	experience	neutral	experience neutral	no
2673	I would go back tho.	experience	positive	experience positive	no
2673	I would go back tho.	experience	negative	experience negative	no
2673	I would go back tho.	experience	neutral	experience neutral	no
1380	Definately check it out!!!	experience	positive	experience positive	no
1380	Definately check it out!!!	experience	negative	experience negative	no
1380	Definately check it out!!!	experience	neutral	experience neutral	no
3641	You cannot go wrong with this place.	experience	positive	experience positive	no
3641	You cannot go wrong with this place.	experience	negative	experience negative	no
3641	You cannot go wrong with this place.	experience	neutral	experience neutral	no
2806	As a Japanese native, I've lived in the Tristate area for over 8 years, but I was just so amazed at this place.	experience	positive	experience positive	no
2806	As a Japanese native, I've lived in the Tristate area for over 8 years, but I was just so amazed at this place.	experience	negative	experience negative	no
2806	As a Japanese native, I've lived in the Tristate area for over 8 years, but I was just so amazed at this place.	experience	neutral	experience neutral	no
2630	I loving bringing friends here -and I do so every chance I get.	experience	positive	experience positive	no
2630	I loving bringing friends here -and I do so every chance I get.	experience	negative	experience negative	no
2630	I loving bringing friends here -and I do so every chance I get.	experience	neutral	experience neutral	no
924	With the theater 2 blocks away we had a delicious meal in a beautiful room.	food	positive	food positive	no
924	With the theater 2 blocks away we had a delicious meal in a beautiful room.	food	negative	food negative	no
924	With the theater 2 blocks away we had a delicious meal in a beautiful room.	food	neutral	food neutral	no
3411	Even my Indian friend couldn't believe how good and tasty everything was.	food	positive	food positive	no
3411	Even my Indian friend couldn't believe how good and tasty everything was.	food	negative	food negative	no
